airbnb_id,night_price_native,night_price,weekly_price,monthly_price,cleaning_fee_native_price,num_of_baths,num_of_rooms,occupancy,nights_booked,rental_income,airbnb_neighborhood_id,airbnb_city,capacity_of_people,zip,property_type,room_type,reviews_count,num_of_beds,lat,lon,star_rating
33454021.0,11,98,0,0,9,1.0,3,88,321,2622,268943.0,Orlando,6,3,House,Entire home/apt,172,3,28.4593,-81.3318,5
33465208.0,165,394,0,0,125,2.0,3,46,168,5516,269108.0,Orlando,6,3,House,Entire home/apt,75,3,28.5968,-81.3553,5
33453606.0,195,295,0,0,15,3.0,5,93,198,8344,268866.0,Orlando,16,3,House,Entire home/apt,123,8,28.4809,-81.4558,5
33463245.0,6,59,0,0,35,1.0,0,68,248,1219,269141.0,Orlando,4,3,House,Entire home/apt,142,3,28.4992,-81.2739,5
33452884.0,103,107,0,0,175,2.0,2,76,208,2473,268878.0,Orlando,4,3,House,Entire home/apt,83,2,28.5515,-81.3665,5
33452905.0,129,137,0,0,11,1.0,2,56,204,2329,268881.0,Orlando,4,3,House,Entire home/apt,38,2,28.5689,-81.3491,5
33454008.0,75,78,0,0,6,1.0,1,75,206,1785,268943.0,Orlando,2,3,Guest suite,Entire home/apt,139,1,28.4578,-81.3331,5
33453047.0,15,157,0,0,5,1.0,2,58,212,2774,268881.0,Orlando,4,3,Townhouse,Entire home/apt,72,2,28.5919,-81.3543,5
33452540.0,58,63,0,0,85,1.0,1,82,298,1565,268890.0,Orlando,3,3,Apartment,Entire home/apt,69,1,28.5487,-81.3741,5
33451984.0,12,68,0,0,54,1.0,1,9,329,1864,268878.0,Orlando,2,3,Guesthouse,Entire home/apt,374,1,28.5441,-81.366,5
33457153.0,69,74,0,0,79,1.0,0,4,147,907,268998.0,Orlando,4,3,Other,Entire home/apt,154,2,28.5724,-81.3987,5
33457346.0,125,11,0,0,75,1.0,1,61,224,2053,268998.0,Orlando,2,3,Cottage,Entire home/apt,84,2,28.5574,-81.3899,5
33452691.0,95,113,0,29,75,1.0,1,45,166,1563,268881.0,Orlando,2,3,Bungalow,Entire home/apt,43,1,28.5655,-81.3399,5
33453905.0,115,107,0,0,1,2.0,2,54,198,1766,268906.0,Orlando,4,3,Townhouse,Entire home/apt,4,3,28.5291,-81.3078,5
33576605.0,75,8,0,0,6,1.0,1,66,2,16,269206.0,Tampa,4,3,House,Entire home/apt,32,3,27.971,-82.4859,5
33576874.0,125,1,0,0,55,1.0,2,24,88,733,124243.0,Tampa,4,3,House,Entire home/apt,4,3,27.962,-82.4309,5
33458505.0,1,92,0,0,6,2.0,2,25,39,718,268987.0,Orlando,4,3,Condominium,Entire home/apt,182,3,28.4568,-81.4685,5
33469198.0,18,266,0,0,195,3.0,5,86,315,6983,274235.0,Orlando,1,3,House,Entire home/apt,91,6,28.3418,-81.3217,5
33453665.0,49,99,0,0,3,1.0,2,53,194,1601,268890.0,Orlando,5,3,House,Entire home/apt,95,4,28.5094,-81.3491,5
33452552.0,45,63,0,0,15,1.0,1,9,34,179,268890.0,Orlando,2,3,Tiny house,Entire home/apt,287,1,28.51,-81.3477,5
33452138.0,72,76,0,0,125,1.0,1,16,59,374,268878.0,Orlando,4,3,House,Entire home/apt,46,1,28.565,-81.3664,5
33454554.0,97,12,0,0,4,1.0,3,95,345,345,268890.0,Orlando,6,3,House,Entire home/apt,615,5,28.5194,-81.3747,5
33454065.0,95,9,0,0,85,1.0,2,44,161,1208,268943.0,Orlando,4,3,House,Entire home/apt,102,2,28.4583,-81.3372,5
33463978.0,92,122,0,0,9,2.0,2,98,359,365,269124.0,Orlando,4,3,Apartment,Entire home/apt,206,2,28.6015,-81.3565,5
33575079.0,48,48,0,0,6,1.0,1,0,0,0,124197.0,Tampa,2,3,Guest suite,Entire home/apt,5,1,28.009,-82.499,5
33576596.0,15,266,0,0,75,2.0,3,23,84,1862,125884.0,Tampa,6,3,Apartment,Entire home/apt,3,3,27.8725,-82.5283,5
33454034.0,6,63,0,0,5,1.0,0,52,191,1003,268943.0,Orlando,2,3,Guest suite,Entire home/apt,137,1,28.4583,-81.3372,5
33456771.0,149,182,0,0,0,1.0,1,64,234,3549,268890.0,Orlando,2,3,Condominium,Entire home/apt,233,1,28.5408,-81.3805,5
33452963.0,109,109,0,0,3,1.0,1,96,351,3188,268878.0,Orlando,2,3,Apartment,Entire home/apt,52,1,28.5476,-81.3716,5
33460235.0,148,139,0,0,0,1.0,1,48,177,205,268987.0,Orlando,2,3,Condominium,Entire home/apt,315,2,28.4566,-81.4681,5
33458971.0,81,74,0,0,25,1.0,1,68,248,1529,269035.0,Orlando,3,3,Guest suite,Entire home/apt,453,1,28.574,-81.3864,5
33453506.0,315,293,0,0,125,2.0,2,3,74,271,268881.0,Orlando,5,3,Condominium,Entire home/apt,44,2,28.5912,-81.3511,5
33451933.0,41,52,0,0,145,1.0,1,59,214,927,268878.0,Orlando,2,3,Tiny house,Entire home/apt,68,2,28.572,-81.3427,5
