properties_id,airbnb_city,lat,lon,star_rating
37,Orlando,28.4593,-81.3318,5
38,Orlando,28.5968,-81.3553,5
39,Orlando,28.4809,-81.4558,5
232,Orlando,28.4992,-81.2739,5
40,Orlando,28.5515,-81.3665,5
371,Orlando,28.5689,-81.3491,5
41,Orlando,28.4578,-81.3331,5
42,Orlando,28.5919,-81.3543,5
558,Orlando,28.5487,-81.3741,5
43,Orlando,28.5441,-81.366,5
44,Orlando,28.5724,-81.3987,5
45,Orlando,28.5574,-81.3899,5
1415,Orlando,28.5655,-81.3399,5
46,Orlando,28.5291,-81.3078,5
2268,Tampa,27.971,-82.4859,5
2419,Tampa,27.962,-82.4309,5
48,Orlando,28.4568,-81.4685,5
49,Orlando,28.3418,-81.3217,5
50,Orlando,28.5094,-81.3491,5
51,Orlando,28.51,-81.3477,5
52,Orlando,28.565,-81.3664,5
53,Orlando,28.5194,-81.3747,5
54,Orlando,28.4583,-81.3372,5
55,Orlando,28.6015,-81.3565,5
4013,Tampa,28.009,-82.499,5
3276,Tampa,27.8725,-82.5283,5
56,Orlando,28.4583,-81.3372,5
57,Orlando,28.5408,-81.3805,5
58,Orlando,28.5476,-81.3716,5
21,Orlando,28.4566,-81.4681,5
18,Orlando,28.574,-81.3864,5
19,Orlando,28.5912,-81.3511,5
20,Orlando,28.572,-81.3427,5
22,Orlando,28.5002,-81.4424,5
23,Orlando,28.5163,-81.3563,5
24,Orlando,28.456,-81.4671,5
25,Orlando,28.4717,-81.4927,5
26,Orlando,28.5381,-81.3544,5
27,Orlando,28.5062,-81.302,5
28,Orlando,28.5521,-81.3728,5
31,Orlando,28.3415,-81.3221,5
32,Orlando,28.5866,-81.3659,5
33,Orlando,28.5652,-81.3701,5
34,Orlando,28.4891,-81.4405,5
35,Orlando,28.5617,-81.3364,5
36,Orlando,28.4941,-81.4385,5
30,Orlando,28.5075,-81.3012,5
29,Orlando,28.559,-81.3609,5
59,Orlando,28.457,-81.4678,5
61,Orlando,28.5974,-81.4734,5
62,Orlando,28.5272,-81.3307,5
63,Orlando,28.5036,-81.3014,5
64,Orlando,28.4887,-81.4058,5
65,Orlando,28.5127,-81.4267,5
66,Orlando,28.48,-81.4197,5
67,Orlando,28.601,-81.3498,5
68,Orlando,28.5098,-81.4879,5
69,Orlando,28.5663,-81.3596,5
70,Orlando,28.5958,-81.3557,5
71,Orlando,28.5384,-81.3863,5
72,Orlando,28.4891,-81.4414,5
73,Orlando,28.5445,-81.3702,5
75,Orlando,28.5014,-81.3597,5
47,Orlando,28.5442,-81.3679,5
76,Orlando,28.4884,-81.4154,5
77,Orlando,28.5047,-81.3005,5
78,Orlando,28.5459,-81.4048,5
80,Orlando,28.3417,-81.3233,5
81,Orlando,28.4574,-81.4678,5
82,Orlando,28.5871,-81.3521,5
84,Orlando,28.5126,-81.2991,5
86,Orlando,28.5162,-81.3526,5
87,Orlando,28.4919,-81.4055,4
90,Orlando,28.5695,-81.3841,5
93,Orlando,28.5441,-81.3694,5
95,Orlando,28.6017,-81.3565,5
96,Orlando,28.4884,-81.4894,5
97,Orlando,28.6037,-81.3839,5
98,Orlando,28.5399,-81.3677,5
99,Orlando,28.5434,-81.3657,5
100,Orlando,28.546,-81.3609,5
101,Orlando,28.5727,-81.3802,5
102,Orlando,28.5142,-81.2984,5
103,Orlando,28.5094,-81.2921,5
104,Orlando,28.5888,-81.3209,5
105,Orlando,28.4672,-81.2605,5
107,Orlando,28.4755,-81.4078,5
108,Orlando,28.5425,-81.3635,5
109,Orlando,28.4561,-81.469,5
110,Orlando,28.4573,-81.4668,5
111,Orlando,28.5362,-81.3812,5
112,Orlando,28.4887,-81.4417,5
113,Orlando,28.5419,-81.3801,5
114,Orlando,28.4966,-81.4376,5
115,Orlando,28.4532,-81.4686,5
116,Orlando,28.5544,-81.3504,5
60,Orlando,28.5438,-81.4753,5
79,Orlando,28.5397,-81.3811,5
83,Orlando,28.5656,-81.3676,5
92,Orlando,28.4557,-81.4631,5
