properties_id,nights_booked,occupancy,rental_income,star_rating
37,321,88,2622,5
38,168,46,5516,5
39,198,93,8344,5
232,248,68,1219,5
40,208,76,2473,5
371,204,56,2329,5
41,206,75,1785,5
42,212,58,2774,5
558,298,82,1565,5
43,329,9,1864,5
44,147,4,907,5
45,224,61,2053,5
1415,166,45,1563,5
46,198,54,1766,5
2268,2,66,16,5
2419,88,24,733,5
48,39,25,718,5
49,315,86,6983,5
50,194,53,1601,5
51,34,9,179,5
52,59,16,374,5
53,345,95,345,5
54,161,44,1208,5
55,359,98,365,5
4013,0,0,0,5
3276,84,23,1862,5
56,191,52,1003,5
57,234,64,3549,5
58,351,96,3188,5
21,177,48,205,5
18,248,68,1529,5
19,74,3,271,5
20,214,59,927,5
22,52,19,849,5
23,32,11,317,5
24,56,3,709,5
25,287,79,2798,5
26,6,16,39,5
27,91,25,645,5
28,302,9,2745,5
31,291,8,3832,5
32,1,1,31,5
33,328,9,2542,5
34,207,57,1484,5
35,222,61,2812,5
36,145,53,2707,5
30,136,56,1394,5
29,233,64,1456,5
59,217,59,1411,5
61,301,82,301,5
62,181,5,89,5
63,365,1,2433,5
64,207,57,1346,5
65,208,57,208,5
66,234,64,1482,5
67,191,52,2101,5
68,126,41,252,5
69,18,49,12,5
70,82,22,1319,5
71,146,4,3017,5
72,364,1,2123,5
73,284,78,2248,5
75,26,71,4788,5
47,261,72,2719,5
76,111,3,694,5
77,157,57,157,5
78,297,81,11855,5
80,109,3,1363,5
81,23,63,1553,5
82,3,82,565,5
84,59,16,418,5
86,336,92,3528,5
87,91,25,501,4
90,188,52,1441,5
93,229,63,187,5
95,332,91,2794,5
96,137,64,3249,5
97,75,49,4275,5
98,262,72,2445,5
99,211,58,2251,5
100,75,25,1178,5
101,27,74,1913,5
102,316,87,1975,5
103,353,97,2648,5
104,322,88,7352,5
105,4,13,32,5
107,184,5,184,5
108,79,22,1448,5
109,232,69,2172,5
110,345,95,1754,5
111,326,89,11655,5
112,17,47,1289,5
113,278,91,5226,5
114,318,87,1537,5
115,291,96,2561,5
116,12,36,1364,5
60,275,1,1283,5
79,186,51,3131,5
83,314,86,1936,5
92,16,44,132,5
117,358,98,355,5
120,351,96,3773,5
121,215,59,1183,5
122,98,27,76,5
123,244,67,2806,5
124,311,85,3654,5
125,283,78,3349,5
126,215,59,1362,5
127,167,46,1294,5
128,8,9,36,5
129,303,83,2247,5
131,187,51,1434,5
132,304,83,3116,5
94,146,44,1128,5
133,212,58,1714,5
134,2,7,432,5
135,7,57,2013,4
136,225,62,2231,5
137,279,76,6929,5
138,186,56,795,5
139,136,37,1145,5
141,175,48,6315,4
142,204,56,1139,5
144,156,51,131,5
145,247,68,1482,5
146,56,15,803,5
147,171,47,1325,5
148,71,77,3053,5
149,289,79,1638,5
150,328,9,1476,5
151,35,96,1779,5
152,23,63,1208,5
153,157,43,5351,5
156,325,89,2708,5
158,169,46,2,5
159,246,67,1866,5
160,21,69,2898,5
161,284,93,2499,5
162,271,74,1965,5
163,245,1,2879,5
164,341,93,4518,5
165,347,95,2834,5
166,299,82,2691,5
167,132,36,143,5
168,261,72,4676,5
170,238,65,1666,5
171,74,22,693,5
172,178,65,1582,4
118,92,6,149,5
130,136,41,779,5
143,253,69,1666,5
155,19,52,1884,0
174,95,26,895,5
175,178,49,2551,5
176,46,5,1579,4
177,47,31,11,5
178,175,48,2129,5
181,312,85,3562,5
183,212,58,159,5
184,212,58,1201,5
186,344,94,2265,5
187,334,92,2366,5
188,287,79,1459,5
189,45,12,375,5
190,168,46,252,5
191,317,87,2457,5
192,153,42,1364,5
193,327,9,4278,5
194,324,89,1809,5
195,96,45,133,5
196,142,39,1112,5
197,93,38,1837,5
198,78,21,559,5
201,26,71,2838,5
202,2,5,217,4
203,196,54,3087,5
204,186,51,3317,5
205,322,88,2147,5
206,67,18,625,5
207,83,67,1764,5
208,119,36,746,4
209,69,19,2185,5
210,289,79,5226,5
211,83,23,899,5
212,143,39,798,5
213,121,33,938,5
214,39,11,322,5
215,153,46,1488,5
216,345,95,2358,5
217,341,93,3296,5
218,234,64,1424,4
219,176,48,1144,5
220,298,82,154,5
221,275,75,1352,5
223,166,45,1798,5
224,82,25,2013,5
226,212,58,1979,5
227,308,84,3131,5
228,296,81,3009,5
229,28,8,147,5
173,359,98,2992,5
199,109,3,672,5
200,45,12,236,5
231,307,84,1305,5
233,111,3,4116,5
234,333,91,2498,5
235,186,51,2217,5
236,137,38,161,5
237,194,58,2028,5
238,355,97,4793,5
239,85,28,1003,5
240,137,38,719,5
242,348,95,4147,5
244,27,74,1328,5
245,38,1,855,5
246,187,51,1543,5
247,349,96,1832,5
185,161,48,1551,5
248,304,83,6789,5
249,243,79,1798,5
250,35,1,233,5
251,239,65,916,5
252,178,49,2655,5
255,221,61,2744,5
